total,inter,intra,torsions,intra best pose
-6.842,-9.242,-1.208,2.4,-1.208
-6.776,-9.436,-0.925,2.377,-1.208
-6.646,-8.982,-1.203,2.331,-1.208
-6.614,-8.507,-1.635,2.32,-1.208
-6.55,-9.046,-1.009,2.297,-1.208
