total,inter,intra,torsions,intra best pose
-7.16,-9.881,-0.958,2.721,-0.958
-7.104,-9.553,-1.208,2.7,-0.958
-7.061,-8.918,-1.784,2.683,-0.958
-6.933,-9.139,-1.386,2.634,-0.958
-6.835,-9.188,-1.202,2.597,-0.958
