total,inter,intra,torsions,intra best pose
-7.002,-9.458,-1.033,2.456,-1.033
-6.965,-9.23,-1.211,2.443,-1.033
-6.952,-9.391,-1.033,2.439,-1.033
-6.849,-9.224,-1.06,2.402,-1.033
-6.713,-8.725,-1.375,2.355,-1.033
